MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
381,659,97,2968,08-Aug-24,1Fシャッター
380,659,1363,811,08-Aug-24,
383,660,2718,1816,08-Aug-24,
384,660,2719,3456,08-Aug-24,
385,660,2720,1917,08-Aug-24,
386,660,2721,1892,08-Aug-24,
387,660,2770,1841,08-Aug-24,
388,660,2771,3460,08-Aug-24,
389,660,2772,1843,08-Aug-24,
390,660,2773,2206,08-Aug-24,
382,660,2807,3454,08-Aug-24,
392,661,2433,2887,08-Aug-24,
393,661,2434,2432,08-Aug-24,
394,661,2435,2433,08-Aug-24,
391,661,2511,3049,08-Aug-24,
395,661,2774,2267,08-Aug-24,
397,661,2950,2893,08-Aug-24,
398,661,2951,2890,08-Aug-24,
399,661,2952,2888,08-Aug-24,
396,661,2953,3468,08-Aug-24,
1059,662,2722,1825,16-Aug-24,
400,663,628,3472,08-Aug-24,
404,663,659,301,08-Aug-24,JAE-083ー＞JAE-026
401,663,666,323,08-Aug-24,JAE-112ー＞No631　JAE-026カッター270ｘ270
403,664,653,297,08-Aug-24,JAE-070　ー＞　JAE-212（高刃カッター）
402,664,741,368,08-Aug-24,
405,667,2436,2224,08-Aug-24,
406,667,2714,3478,08-Aug-24,
407,667,3149,1940,08-Aug-24,
816,669,1578,3866,16-Aug-24,
916,670,2015,1901,16-Aug-24,
917,671,2016,1902,16-Aug-24,
570,672,419,3635,16-Aug-24,
413,674,740,1889,08-Aug-24,
409,674,2718,1816,08-Aug-24,
410,674,2719,3456,08-Aug-24,
408,674,2722,1825,08-Aug-24,
411,674,2770,1841,08-Aug-24,
412,674,2771,3460,08-Aug-24,
886,675,1840,2210,16-Aug-24,
2429,677,3127,,22-Jan-25,
1057,678,2554,4104,16-Aug-24,
1053,679,2471,2732,16-Aug-24,
1041,680,2354,1300,16-Aug-24,
1122,682,2776,1896,16-Aug-24,フィルム
1121,683,2776,1896,16-Aug-24,
1051,684,2552,4098,16-Aug-24,
